Gender,Height,Weight
Male,240.8935632,73.84701702
Female,163.3104725,68.78190405
Male,212.7408556,74.11010539
Male,220.0424703,71.7309784
Male,206.3498006,69.88179586
Female,152.2121558,67.25301569
Female,183.9278886,68.78508125
Female,167.9711105,68.34851551
Female,175.9294404,67.01894966
Female,156.3996764,63.45649398
Female,186.6049256,71.19538228
Male,213.7411695,71.64080512
Female,167.1274611,64.76632913
Female,189.4461814,69.2830701
Female,186.434168,69.24373223
Female,172.1869301,67.6456197
Female,196.0285063,72.41831663
Female,172.8834702,63.97432572
Female,185.9839576,69.6400599
Female,182.426648,67.93600485
Female,174.1159291,67.91505019
Male,197.7314216,69.43943987
Female,149.173566,66.14913196
Male,228.7617806,75.20597361
Female,162.0066518,67.89319634
Male,192.3439766,68.1440328
Male,184.4351744,69.08963143
Male,206.8281894,72.80084352
Female,175.2139224,67.42124228
Female,154.3426389,68.49641536
Female,187.5068432,68.61811055
Male,212.9102253,74.03380762
Male,195.0322432,71.52821604
Male,205.1836213,69.1801611
Male,204.1641255,69.57720237
Male,192.9035151,70.40092889
Male,197.4882426,69.07617117
Male,183.8109732,67.19352328
Female,163.8518249,65.80731565
Female,163.1080171,64.30418789
Female,172.1355974,67.97433623
Female,194.0454049,72.18942596
Female,168.6177462,65.27034552
Female,161.1934326,66.09017738
Female,164.6602773,67.51032152
Male,188.9223032,70.10478626
Male,187.0605522,68.25183644
Male,209.0708634,72.17270912
Male,192.0143354,69.17985762
Male,211.3424968,72.87036015
Female,165.6116262,64.78258298
Male,201.0719181,70.18354989
Female,173.4239603,68.49145025
Male,181.4076793,67.33083088
Female,169.7377074,66.99094408
Female,163.3095283,66.4995499
Female,189.7102099,68.35305665
Male,192.1248473,70.77445907
Male,198.1984641,71.21592367
Male,209.5264998,70.01336535
Male,198.7597927,71.40318222
Male,198.0795237,69.55200509
Male,195.2906122,73.81853456
Female,164.943303,66.99688275
Female,179.8639023,71.41846589
Female,155.2504207,65.27930021
Female,184.5193912,68.27419147
Male,220.6780415,72.76536995
Male,183.3126553,68.0993798
Male,196.4513123,68.89670607
Male,184.5956083,69.28950996
Male,207.5328385,70.52322452
Female,177.2009288,69.66372523
Female,163.1080022,67.59526881
Male,216.2182301,72.50812038
Male,204.6554938,71.2529856
Male,200.9205712,71.80918689
Male,220.9017699,72.24516548
Male,196.4498603,66.51262766
Female,168.64081,66.029034
Male,181.432713,67.57715394
Male,198.6586733,68.2465686
Male,237.9167359,73.826127
Female,173.0412559,69.80246436
Female,160.6839166,65.95957778
Female,188.6029191,71.07901758
Male,208.345694,66.59619654
Male,193.4351185,68.95153509
Female,174.1096938,68.24446179
Male,197.3685892,72.31682512
Male,201.6206667,71.81542045
Male,181.0119732,65.23704952
Male,182.122486,70.64053009
Female,177.5492634,64.7319256
Female,164.9745807,67.10355118
Female,165.7171122,65.11748489
Male,193.0941635,71.70123402
Male,180.683887,66.83287821
Male,172.7737229,66.47127526
Male,177.4706162,69.41152622
Male,200.8187373,70.05217747
Female,167.7397753,66.74360465
Female,154.3956248,66.27432912
Female,177.9847286,68.32844799
Male,183.938857,70.0758882
Female,179.2047821,68.73298815
Female,158.5679874,67.55605126
Female,166.5035316,66.25363253
Female,171.9836776,69.18220268
Female,174.3641824,67.60910494
Female,187.7453519,69.29273802
